**** 150 ****
80
33; 16;
22; 15;
32; 19;
11; 11;
27; 28;
31; 8;
32; 32;
39; 26;
39; 8;
10; 31;
21; 14;
28; 10;
11; 26;
5; 28;
23; 22;
25; 31;
38; 15;
12; 26;
36; 33;
10; 27;
32; 13;
5; 16;
9; 10;
25; 15;
14; 10;
12; 26;
24; 35;
32; 23;
27; 16;
9; 10;
19; 23;
27; 10;
8; 39;
10; 22;
25; 18;
30; 10;
38; 23;
39; 13;
14; 16;
6; 5;
6; 29;
18; 18;
14; 38;
12; 8;
22; 28;
38; 24;
29; 39;
13; 13;
26; 34;
12; 9;
5; 7;
30; 36;
20; 6;
27; 5;
35; 23;
13; 16;
15; 8;
9; 29;
9; 13;
35; 10;
32; 7;
39; 36;
20; 10;
21; 38;
15; 30;
27; 19;
8; 36;
5; 38;
38; 21;
38; 12;
15; 11;
12; 39;
19; 27;
13; 25;
35; 23;
8; 17;
39; 7;
17; 38;
8; 34;
21; 14;
*** EOF ***
