**** 863 ****
50
993; 649;
888; 879;
776; 321;
482; 922;
544; 429;
334; 801;
963; 867;
499; 421;
322; 805;
294; 310;
466; 642;
753; 541;
482; 965;
986; 502;
887; 510;
808; 498;
636; 459;
942; 311;
254; 391;
325; 554;
280; 329;
308; 658;
399; 555;
944; 376;
931; 272;
291; 600;
531; 988;
452; 601;
896; 596;
647; 811;
334; 979;
285; 283;
620; 835;
414; 754;
924; 437;
417; 931;
730; 740;
280; 387;
583; 344;
391; 926;
270; 859;
571; 864;
469; 458;
967; 648;
256; 591;
414; 657;
744; 513;
469; 300;
293; 274;
287; 564;
*** EOF ***
