**** 681 ****
200
11; 8;
5; 6;
6; 11;
9; 5;
11; 11;
7; 11;
8; 14;
8; 11;
13; 13;
4; 9;
4; 13;
13; 15;
5; 13;
12; 7;
12; 11;
10; 9;
8; 6;
7; 8;
12; 4;
9; 4;
11; 14;
14; 5;
13; 7;
9; 13;
7; 6;
4; 12;
8; 14;
10; 13;
11; 6;
5; 9;
15; 6;
9; 4;
5; 14;
6; 5;
11; 4;
15; 12;
7; 15;
13; 6;
14; 11;
5; 14;
7; 14;
4; 10;
10; 13;
4; 10;
12; 10;
12; 10;
15; 15;
4; 9;
8; 14;
4; 15;
4; 8;
6; 7;
6; 8;
8; 8;
4; 7;
14; 15;
4; 6;
6; 4;
6; 14;
9; 7;
13; 11;
8; 4;
7; 8;
12; 7;
15; 8;
13; 4;
11; 6;
13; 14;
12; 13;
7; 6;
8; 11;
10; 8;
11; 13;
9; 13;
13; 4;
7; 10;
8; 12;
5; 8;
15; 5;
15; 13;
11; 5;
9; 11;
10; 14;
7; 13;
8; 7;
7; 9;
10; 7;
14; 5;
5; 4;
9; 9;
15; 15;
10; 14;
5; 7;
11; 15;
4; 8;
14; 11;
13; 9;
11; 7;
6; 14;
14; 13;
9; 12;
8; 9;
12; 14;
15; 5;
13; 15;
7; 15;
11; 10;
14; 11;
10; 11;
10; 6;
6; 8;
12; 15;
9; 12;
11; 5;
11; 10;
15; 7;
5; 12;
15; 7;
10; 4;
5; 7;
8; 10;
5; 5;
5; 15;
15; 7;
10; 15;
13; 10;
7; 12;
10; 5;
15; 9;
4; 4;
6; 14;
9; 6;
15; 4;
14; 15;
10; 11;
4; 9;
9; 7;
14; 12;
6; 11;
14; 9;
12; 8;
10; 12;
13; 9;
15; 9;
5; 13;
7; 5;
4; 5;
5; 9;
4; 15;
5; 5;
5; 4;
12; 14;
14; 7;
4; 4;
13; 14;
15; 7;
11; 10;
7; 13;
7; 13;
9; 10;
4; 8;
14; 12;
8; 15;
9; 8;
6; 8;
11; 6;
10; 12;
8; 12;
11; 11;
13; 10;
8; 15;
11; 6;
13; 4;
10; 9;
13; 7;
6; 7;
9; 10;
4; 12;
6; 4;
10; 15;
14; 12;
14; 8;
6; 13;
12; 14;
6; 11;
6; 11;
15; 15;
6; 5;
12; 11;
14; 7;
8; 15;
11; 14;
6; 8;
12; 15;
12; 11;
10; 11;
5; 14;
11; 11;
5; 7;
4; 4;
*** EOF ***
